overall,round,round_pick,fantasy_team_name,player_name,nfl_team,position
89,8,5,Conner? I barely know her,Brock Purdy,SF,QB
90,8,6,Hock N' Roll,Michael Wilson,ARI,WR
91,8,7,Quin(yon)t,Stefon Diggs,WSH,WR
92,8,8,Clam Jammers,Travis Kelce,KC,TE
93,8,9,Lips is Lips,Wan'Dale Robinson,TEN,WR
94,8,10,You Make My Poll(e)ard,Jake Ferguson,DAL,TE
95,8,11,I'm sorry Wilson!,Aaron Jones Sr.,MIN,RB
96,8,12,Beef Curtain,Alec Pierce,IND,WR
97,9,1,Beef Curtain,Travis Hunter,JAX,WR
98,9,2,I'm sorry Wilson!,Jakobi Meyers,JAX,WR
99,9,3,You Make My Poll(e)ard,Chris Godwin Jr.,TB,WR
100,9,4,Lips is Lips,Rachaad White,WSH,RB
101,9,5,Clam Jammers,Brandon Aubrey,DAL,K
102,9,6,Quin(yon)t,Matthew Golden,GB,WR
103,9,7,Hock N' Roll,Brian Thomas Jr.,JAX,WR
104,9,8,Conner? I barely know her,Kyle Monangai,CHI,RB
105,9,9,Strictly Business,Jordan Addison,MIN,WR
106,9,10,Team Rabasco,J.K. Dobbins,DEN,RB
107,9,11,Adrian Peter's Pub,Dallas Goedert,PHI,TE
108,9,12,Young Money McMillanaire,Isaiah Likely,NYG,TE
109,10,1,Young Money McMillanaire,RJ Harvey,DEN,RB
110,10,2,Adrian Peter's Pub,Josh Downs,IND,WR
111,10,3,Team Rabasco,Quentin Johnston,LAC,WR
112,10,4,Strictly Business,Patrick Mahomes,KC,QB
113,10,5,Conner? I barely know her,Bo Nix,DEN,QB
114,10,6,Hock N' Roll,Makai Lemon,PHI,WR
115,10,7,Quin(yon)t,Blake Corum,LAR,RB
116,10,8,Clam Jammers,Tyjae Spears,TEN,RB
117,10,9,Lips is Lips,Kyler Murray,MIN,QB
118,10,10,You Make My Poll(e)ard,Jacory Croskey-Merritt,WSH,RB
119,10,11,I'm sorry Wilson!,Alvin Kamara,NO,RB
120,10,12,Beef Curtain,Khalil Shakir,BUF,WR
121,11,1,Beef Curtain,Matthew Stafford,LAR,QB
122,11,2,I'm sorry Wilson!,Mark Andrews,BAL,TE
123,11,3,You Make My Poll(e)ard,Jayden Reed,GB,WR
124,11,4,Lips is Lips,Texans D/ST,HOU,DST
125,11,5,Clam Jammers,Xavier Worthy,KC,WR
126,11,6,Quin(yon)t,Cameron Dicker,LAC,K
127,11,7,Hock N' Roll,Broncos D/ST,DEN,DST
128,11,8,Conner? I barely know her,Romeo Doubs,NE,WR
129,11,9,Strictly Business,Jason Myers,SEA,K
130,11,10,Team Rabasco,De'Zhaun Stribling,SF,WR
131,11,11,Adrian Peter's Pub,Ka'imi Fairbairn,HOU,K
132,11,12,Young Money McMillanaire,Dalton Kincaid,BUF,TE
133,12,1,Young Money McMillanaire,Jalen Coker,CAR,WR
134,12,2,Adrian Peter's Pub,Tyler Shough,NO,QB
135,12,3,Team Rabasco,Eddy Pineiro,SF,K
136,12,4,Strictly Business,Zach Charbonnet,SEA,RB
137,12,5,Conner? I barely know her,Jared Goff,DET,QB
138,12,6,Hock N' Roll,Woody Marks,HOU,RB
139,12,7,Quin(yon)t,Jordan Mason,MIN,RB
140,12,8,Clam Jammers,Deebo Samuel Sr.,SF,WR
141,12,9,Lips is Lips,Isiah Pacheco,DET,RB
142,12,10,You Make My Poll(e)ard,Daniel Jones,IND,QB
143,12,11,I'm sorry Wilson!,Rashid Shaheed,SEA,WR
144,12,12,Beef Curtain,KC Concepcion,CLE,WR
145,13,1,Beef Curtain,Jalen McMillan,TB,WR
146,13,2,I'm sorry Wilson!,T.J. Hockenson,MIN,TE
147,13,3,You Make My Poll(e)ard,Tank Dell,HOU,WR
148,13,4,Lips is Lips,Baker Mayfield,TB,QB
149,13,5,Clam Jammers,Chris Rodriguez Jr.,JAX,RB
150,13,6,Quin(yon)t,Juwan Johnson,NO,TE
151,13,7,Hock N' Roll,Dylan Sampson,CLE,RB
152,13,8,Conner? I barely know her,Justice Hill,BAL,RB
153,13,9,Strictly Business,Hunter Henry,NE,TE
154,13,10,Team Rabasco,Calvin Ridley,TEN,WR
155,13,11,Adrian Peter's Pub,Tyler Allgeier,ARI,RB
156,13,12,Young Money McMillanaire,Kenyon Sadiq,NYJ,TE
157,14,1,Young Money McMillanaire,Keenan Allen,IND,WR
158,14,2,Adrian Peter's Pub,Keaton Mitchell,LAC,RB
159,14,3,Team Rabasco,MarShawn Lloyd,GB,RB
160,14,4,Strictly Business,Brenton Strange,JAX,TE
161,14,5,Conner? I barely know her,Brian Robinson Jr.,ATL,RB
162,14,6,Hock N' Roll,Jerry Jeudy,CLE,WR
163,14,7,Quin(yon)t,Jordan Love,GB,QB
164,14,8,Clam Jammers,Steelers D/ST,PIT,DST
165,14,9,Lips is Lips,Adonai Mitchell,NYJ,WR
166,14,10,You Make My Poll(e)ard,Seahawks D/ST,SEA,DST
167,14,11,I'm sorry Wilson!,Najee Harris,NYG,RB
168,14,12,Beef Curtain,Rams D/ST,LAR,DST
169,15,1,Beef Curtain,Caleb Douglas,MIA,WR
170,15,2,I'm sorry Wilson!,Ravens D/ST,BAL,DST
171,15,3,You Make My Poll(e)ard,Jaylin Noel,HOU,WR
172,15,4,Lips is Lips,Terrance Ferguson,LAR,TE
173,15,5,Clam Jammers,Jordyn Tyson,NO,WR
174,15,6,Quin(yon)t,Eagles D/ST,PHI,DST
175,15,7,Hock N' Roll,Harrison Mevis,LAR,K
176,15,8,Conner? I barely know her,Chiefs D/ST,KC,DST
177,15,9,Strictly Business,Browns D/ST,CLE,DST
178,15,10,Team Rabasco,Patriots D/ST,NE,DST
179,15,11,Adrian Peter's Pub,Lions D/ST,DET,DST
180,15,12,Young Money McMillanaire,Cam Little,JAX,K
181,16,1,Young Money McMillanaire,Chargers D/ST,LAC,DST
182,16,2,Adrian Peter's Pub,Malik Willis,MIA,QB
183,16,3,Team Rabasco,Denzel Boston,CLE,WR
184,16,4,Strictly Business,Jonah Coleman,DEN,RB
185,16,5,Conner? I barely know her,Harrison Butker,KC,K
186,16,6,Hock N' Roll,Tre Tucker,LV,WR
187,16,7,Quin(yon)t,Mike Washington Jr.,LV,RB
188,16,8,Clam Jammers,Jalen Nailor,LV,WR
189,16,9,Lips is Lips,Tyler Loop,BAL,K
190,16,10,You Make My Poll(e)ard,Jake Bates,DET,K
191,16,11,I'm sorry Wilson!,Cairo Santos,CHI,K
192,16,12,Beef Curtain,Chase McLaughlin,TB,K
